"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",86.7,92.7,90.6,90.1,"Telangana",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",29.7,40.1,36.4,NA,"Telangana",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",3.9,6.1,5.3,NA,"Telangana",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",80,89.9,86.4,70.5,"Telangana",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",68.7,74.9,72.4,81.3,"Telangana",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",88.8,96.9,94.1,83.6,"Telangana",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",8.5,2.4,4.5,16.2,"Telangana",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",5.5,8.6,7.4,8.2,"Telangana",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",61.8,54.1,56.3,56.8,"Telangana",NA,NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",39.3,38.2,38.5,31.6,"Telangana",NA,NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",71.1,72.2,71.9,74.1,"Telangana",NA,NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.9,2.4,2.2,2,"Telangana",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",76.8,73.7,74.8,76.3,"Telangana",NA,NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",38.8,36,37.1,36.9,"Telangana",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",59.1,73.4,68.2,67,"Telangana",NA,NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",53.1,50.1,51.3,57.5,"Telangana",NA,NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",8.3,8.3,8.3,9.9,"Telangana",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",8.9,22.1,15.3,11.2,"Telangana",NA,NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",8.4,9.7,9.2,10.1,"Telangana",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",28.1,35.7,33.1,28,"Telangana",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",20,22.6,21.7,18.1,"Telangana",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",9.2,8.2,8.5,4.8,"Telangana",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",25.8,35,31.8,28.4,"Telangana",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",4.2,3,3.4,0.7,"Telangana",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",13.5,21.6,18.8,22.9,"Telangana",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",15.2,16.8,16.2,21.5,"Telangana",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI =25.0 kg/m2)21 (%)",41.7,23.8,30.1,28.6,"Telangana",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI =25.0 kg/m2) (%)",40.2,28.1,32.3,24.2,"Telangana",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (=0.85) (%)",47.5,42.3,44.1,NA,"Telangana",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (=0.90) (%)",47.6,45.3,46.1,NA,"Telangana",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",64.7,72.8,70,60.7,"Telangana",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",55.4,59.1,57.8,56.9,"Telangana",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",50.4,54.4,53.2,48.2,"Telangana",NA,NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",55.2,58.9,57.6,56.6,"Telangana",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",63.6,65.2,64.7,59.7,"Telangana",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",13.2,16.5,15.3,15.3,"Telangana",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",25.8,24.7,25.1,19.2,"Telangana",NA,NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.2,5.7,5.8,NA,"Telangana",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",9.3,6,7,NA,"Telangana",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",18.4,13,14.7,NA,"Telangana",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.3,6.7,6.9,NA,"Telangana",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",11.4,8.4,9.3,NA,"Telangana",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",21.4,16.6,18.1,NA,"Telangana",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.3,13.2,13.6,NA,"Telangana",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",6.3,6.3,6.3,NA,"Telangana",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",29.1,24.7,26.1,NA,"Telangana",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",20.5,17.5,18.5,NA,"Telangana",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",9.1,7.6,8.1,NA,"Telangana",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",36.8,28.9,31.4,NA,"Telangana",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",2.3,3.9,3.3,NA,"Telangana",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",0.3,0.4,0.3,NA,"Telangana",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",3.2,2.1,2.5,NA,"Telangana",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",1.9,3,2.6,NA,"Telangana",NA,NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",36.9,26.9,30.7,29.5,"Telangana",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",33,28.9,30.5,50.1,"Telangana",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",74.7,65.4,68.9,59.1,"Telangana",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",78,73.5,75.3,81.5,"Telangana",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",88.9,86.2,87.2,81,"Telangana",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",28.2,55.5,45.1,44.7,"Telangana",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",53.9,74.5,66.6,50.3,"Telangana",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",83,85.2,84.4,59.5,"Telangana",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",75.2,50.6,60,47.4,"Telangana",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",95.2,90.3,92.1,76.6,"Telangana",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",27.3,42.3,36.9,42.9,"Telangana",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.1,5.1,4,5.9,"Telangana",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",3.1,6,5,7.4,"Telangana",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",2.6,7.2,5.6,NA,"Telangana",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",15.2,26.5,22.3,NA,"Telangana",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",2.6,9,6.7,NA,"Telangana",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",33.9,49,43.3,NA,"Telangana",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",89.1,78.9,81.8,81.9,"Tripura",NA,NA,NA,NA
"2. Population below age 15 years (%)",19.6,25.4,23.7,24.5,"Tripura",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",956,1033,1011,998,"Tripura",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1024,1029,1028,969,"Tripura",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",95.6,93.2,93.8,91.6,"Tripura",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",86,77.1,79.5,NA,"Tripura",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.4,97.7,98.2,92.8,"Tripura",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",98.2,84,88,86.4,"Tripura",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",78.5,71.6,73.6,63.7,"Tripura",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",75.4,32.6,45.3,31.9,"Tripura",NA,NA,NA,NA
"11. Households using iodized salt (%)",99.6,99.4,99.5,99.1,"Tripura",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",24.9,36.5,33,58.1,"Tripura",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",29.8,22.1,24.2,NA,"Tripura",NA,NA,NA,NA
"14. Women who are literate4 (%)",89.9,76.9,80.6,NA,"Tripura",NA,NA,NA,NA
"15. Men who are literate4 (%)",93.5,86,88.2,NA,"Tripura",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",36.6,17.9,23.2,23.4,"Tripura",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",39.7,25.1,29.4,35.5,"Tripura",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",36.6,17.7,22.9,NA,"Tripura",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",47,45.2,45.7,NA,"Tripura",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",33.7,42.4,40.1,33.1,"Tripura",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",NA,23.9,20.4,16.2,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"22. Total fertility rate (children per woman)",1.4,1.8,1.7,1.7,"Tripura",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",14.4,24.3,21.9,18.8,"Tripura",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",58,102,91,82,"Tripura",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",13.9,25.5,22.9,13.2,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"26. Infant mortality rate (IMR)",23.2,41.8,37.6,26.7,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"27. Under-five mortality rate (U5MR)",24.4,49,43.3,32.7,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"28. Any method6 (%)",76.9,68.9,71.2,64.1,"Tripura",NA,NA,NA,NA
"29. Any modern method6 (%)",53.4,47.4,49.1,42.8,"Tripura",NA,NA,NA,NA
"30. Female sterilization (%)",14.2,9.1,10.5,13.9,"Tripura",NA,NA,NA,NA
"31. Male sterilization (%)",0,0,0,0,"Tripura",NA,NA,NA,NA
"32. IUD/PPIUD (%)",0,0.6,0.4,0.6,"Tripura",NA,NA,NA,NA
"33. Pill (%)",33,32.6,32.8,26.3,"Tripura",NA,NA,NA,NA
"34. Condom (%)",5,2.6,3.3,1.9,"Tripura",NA,NA,NA,NA
"35. Injectables (%)",0.2,0.3,0.3,0.1,"Tripura",NA,NA,NA,NA
"36. Total unmet need7 (%)",4.7,9.6,8.2,10.7,"Tripura",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",1.1,3.1,2.5,4.1,"Tripura",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",9.7,10.3,10.2,8.2,"Tripura",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",40.4,42.5,41.9,39.5,"Tripura",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",71.8,60.5,63.2,66.4,"Tripura",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",64.2,49.1,52.7,64.3,"Tripura",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",97.7,94,94.9,93,"Tripura",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",28.7,26,26.7,13.4,"Tripura",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",8.2,9.1,8.9,1.6,"Tripura",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.1,92,93,83,"Tripura",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",83.6,68.3,71.9,62.1,"Tripura",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",6223,6774,6640,4784,"Tripura",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,2.7,3.6,0,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",83,69.6,72.8,NA,"Tripura",NA,NA,NA,NA
"50. Institutional births (%)",94.8,87.5,89.2,79.9,"Tripura",NA,NA,NA,NA
"51. Institutional births in public facility (%)",78.2,78.9,78.7,69.1,"Tripura",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",1.6,1.1,1.2,1.2,"Tripura",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",96.8,87,89.2,80.9,"Tripura",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",47.5,18.6,25.1,20.5,"Tripura",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",95.7,54.7,69.3,73.7,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",40.4,17.6,22.7,18.1,"Tripura",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",82.4,65.5,69.5,54.5,"Tripura",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",88.2,73.5,77.1,77.3,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",97.9,93.7,94.7,82.4,"Tripura",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",85.3,69.7,73.4,70.1,"Tripura",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",90.1,84.6,85.9,71.1,"Tripura",NA,NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",91.5,84.7,86.3,69.7,"Tripura",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",28,19.9,21.9,NA,"Tripura",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",66,57.6,59.6,NA,"Tripura",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",88.1,80.7,82.5,54.4,"Tripura",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",78.6,68,70.4,66.5,"Tripura",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",96.8,97.4,97.3,97.4,"Tripura",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",3.2,0.8,1.4,2,"Tripura",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",3.9,6.9,6.2,4.9,"Tripura",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,63.3,67.2,46.3,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,15.2,16.7,19.1,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,61.2,63.1,65.7,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.8,1.5,1.3,2.6,"Tripura",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",67.8,63.5,64.2,73,"Tripura","Based on 25-49 unweighted cases",NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",38.3,35.9,36.4,44.4,"Tripura",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",NA,64.8,62.1,70.7,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,45.6,53.1,13.6,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",13.5,13.3,13.3,5.3,"Tripura",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,16.3,NA,"Tripura","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",14.7,13.1,13.5,5.9,"Tripura",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",27.1,33.9,32.3,24.3,"Tripura",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.1,18.6,18.2,16.8,"Tripura",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.2,8,7.3,6.3,"Tripura",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",16.4,28.3,25.6,24.1,"Tripura",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",9.3,7.8,8.2,3,"Tripura",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",14.6,16.9,16.2,18.9,"Tripura",NA,NA,NA,NA
