"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1636","85. Children under 5 years who are overweight (weight-for-height)20 (%)",4.8,4.9,4.9,3.8,"Nagaland","","","",""
"1637","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",11.6,10.8,11.1,12.3,"Nagaland","","","",""
"1638","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",7.4,7.5,7.5,11.5,"Nagaland","","","",""
"1639","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",17.1,13,14.4,16.2,"Nagaland","","","",""
"1640","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",31,19.8,23.9,13.9,"Nagaland","","","",""
"1641","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",59.6,63.4,62,NA,"Nagaland","","","",""
"1642","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",32.7,27.5,29.4,NA,"Nagaland","","","",""
"1643","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",46.4,41.4,42.7,26.4,"Nagaland","","","",""
"1644","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",27.5,30.3,29.3,27.7,"Nagaland","","","",""
"1645","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",22.3,22.1,22.2,32.7,"Nagaland","","","",""
"1646","95. All women age 15-49 years who are anaemic22 (%)",27.3,29.8,28.9,27.9,"Nagaland","","","",""
"1647","96. All women age 15-19 years who are anaemic22 (%)",34,33.9,33.9,26.3,"Nagaland","","","",""
"1648","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",10.8,9.5,10,11.7,"Nagaland","","","",""
"1649","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",15.5,21.6,19.6,12.2,"Nagaland","Based on 25-49 unweighted cases","","",""
"1650","99. Blood sugar level - high (141-160 mg/dl)23 (%)",5.3,5.2,5.2,NA,"Nagaland","","","",""
"1651","100. Blood sugar level - very high (>160 mg/dl)23 (%)",3.8,3.7,3.8,NA,"Nagaland","","","",""
"1652","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",9.3,9.2,9.3,NA,"Nagaland","","","",""
"1653","102. Blood sugar level - high (141-160 mg/dl)23 (%)",5.9,6.9,6.6,NA,"Nagaland","","","",""
"1654","103. Blood sugar level - very high (>160 mg/dl)23 (%)",6.9,4.7,5.5,NA,"Nagaland","","","",""
"1655","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",13.4,11.9,12.4,NA,"Nagaland","","","",""
"1656","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12,14.7,13.8,NA,"Nagaland","","","",""
"1657","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.8,7.9,7.6,NA,"Nagaland","","","",""
"1658","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",19.9,23.6,22.4,NA,"Nagaland","","","",""
"1659","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.7,20.3,19.1,NA,"Nagaland","","","",""
"1660","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",8,9.3,8.9,NA,"Nagaland","","","",""
"1661","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",26,30.1,28.7,NA,"Nagaland","","","",""
"1662","111. Ever undergone a screening test for cervical cancer (%)",0.3,0.3,0.3,NA,"Nagaland","","","",""
"1663","112. Ever undergone a breast examination for breast cancer (%)",0.4,0.2,0.3,NA,"Nagaland","","","",""
"1664","113. Ever undergone an oral cavity examination for oral cancer (%)",0.6,0.3,0.4,NA,"Nagaland","","","",""
"1665","114. Ever undergone an oral cavity examination for oral cancer (%)",0.1,0.3,0.2,NA,"Nagaland","","","",""
"1666","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",25.5,25.7,25.6,12.5,"Nagaland","","","",""
"1667","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",30.7,45.6,40.1,24.1,"Nagaland","","","",""
"1668","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",62.9,60.5,61.4,39.9,"Nagaland","","","",""
"1669","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",56.1,75.8,68.5,63.6,"Nagaland","","","",""
"1670","119. Currently married women who usually participate in three household decisions25 (%)",98.1,99.8,99.2,97.4,"Nagaland","","","",""
"1671","120. Women who worked in the last 12 months and were paid in cash (%)",28.6,20.7,23.6,22.7,"Nagaland","","","",""
"1672","121. Women owning a house and/or land (alone or jointly with others) (%)",23.4,28.9,26.9,35.2,"Nagaland","","","",""
"1673","122. Women having a bank or savings account that they themselves use (%)",77.9,55.4,63.7,38.8,"Nagaland","","","",""
"1674","123. Women having a mobile phone that they themselves use (%)",93,76.3,82.5,70.4,"Nagaland","","","",""
"1675","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",87.1,76.6,80.2,72.4,"Nagaland","","","",""
"1676","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",5.2,7,6.4,13.1,"Nagaland","","","",""
"1677","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,0.6,0.4,1.5,"Nagaland","","","",""
"1678","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",2.4,1.3,1.6,7.6,"Nagaland","","","",""
"1679","128. Women age 15 years and above who use any kind of tobacco (%)",16,12.6,13.7,NA,"Nagaland","","","",""
"1680","129. Men age 15 years and above who use any kind of tobacco (%)",47.4,48.9,48.4,NA,"Nagaland","","","",""
"1681","130. Women age 15 years and above who consume alcohol (%)",1.5,0.7,0.9,NA,"Nagaland","","","",""
"1682","131. Men age 15 years and above who consume alcohol (%)",26.8,22.5,24,NA,"Nagaland","","","",""
"1683","1. Female population age 6 years and above who ever attended school (%)",90.3,79.5,83.7,79.7,"Sikkim","","","",""
"1684","2. Population below age 15 years (%)",19.2,19.7,19.5,23.1,"Sikkim","","","",""
"1685","3. Sex ratio of the total population (females per 1,000 males)",1033,964,990,942,"Sikkim","","","",""
"1686","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,746,969,809,"Sikkim","Based on 25-49 unweighted cases","","",""
"1687","5. Children under age 5 years whose birth was registered with the civil authority (%)",95.4,97.2,96.5,98.5,"Sikkim","","","",""
"1688","6. Deaths in the last 3 years registered with the civil authority (%)",64.6,79.7,75.5,NA,"Sikkim","Based on 25-49 unweighted cases","","",""
"1689","7. Population living in households with electricity (%)",99.5,99.1,99.3,99.4,"Sikkim","","","",""
"1690","8. Population living in households with an improved drinking-water source1 (%)",97.6,89.9,92.8,97.8,"Sikkim","","","",""
"1691","9. Population living in households that use an improved sanitation facility2 (%)",84,89.3,87.3,89.7,"Sikkim","","","",""
"1692","10. Households using clean fuel for cooking3 (%)",97.5,64.4,78.4,59.1,"Sikkim","","","",""
"1693","11. Households using iodized salt (%)",97.9,98.5,98.3,99.6,"Sikkim","","","",""
"1694","12. Households with any usual member covered under a health insurance/financing scheme (%)",31.2,21.6,25.7,30.3,"Sikkim","","","",""
"1695","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",NA,41.6,41.2,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1696","14. Women who are literate4 (%)",92.8,86.2,88.9,NA,"Sikkim","","","",""
"1697","15. Men who are literate4 (%)",96.9,90.3,93,NA,"Sikkim","","","",""
"1698","16. Women with 10 or more years of schooling (%)",60.2,41.2,49,40.7,"Sikkim","","","",""
"1699","17. Men with 10 or more years of schooling (%)",70.7,44.2,55,45.1,"Sikkim","","","",""
"1700","18. Women who have ever used the internet (%)",90,68.1,76.7,NA,"Sikkim","","","",""
"1701","19. Men who have ever used the internet (%)",94.2,69.5,78.2,NA,"Sikkim","Based on 25-49 unweighted cases","","",""
"1702","20. Women age 20-24 years married before age 18 years (%)",8.5,12.5,10.8,15,"Sikkim","","","",""
"1703","21. Men age 25-29 years married before age 21 years (%)",NA,11.7,5.1,10.7,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1704","22. Total fertility rate (children per woman)",0.7,1.3,1.1,1.2,"Sikkim","","","",""
"1705","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0.9,4.3,3.1,2.8,"Sikkim","","","",""
"1706","24. Adolescent fertility rate for women age 15-19 years5",19,24,22,22,"Sikkim","","","",""
"1707","25. Neonatal mortality rate (NNMR)",NA,7.8,5,20.8,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1708","26. Infant mortality rate (IMR)",NA,17.8,11.2,29.5,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1709","27. Under-five mortality rate (U5MR)",NA,17.8,11.2,32.2,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1710","28. Any method6 (%)",55.5,77.3,69.1,46.7,"Sikkim","","","",""
"1711","29. Any modern method6 (%)",43.6,61.8,54.9,45.9,"Sikkim","","","",""
"1712","30. Female sterilization (%)",14.3,14.6,14.5,17.6,"Sikkim","","","",""
"1713","31. Male sterilization (%)",0.4,2.5,1.7,3.4,"Sikkim","","","",""
"1714","32. IUD/PPIUD (%)",4.6,7.1,6.2,6.3,"Sikkim","","","",""
"1715","33. Pill (%)",9.7,23.4,18.2,11.6,"Sikkim","","","",""
"1716","34. Condom (%)",10.7,8.4,9.3,5.2,"Sikkim","","","",""
"1717","35. Injectables (%)",3.9,3.2,3.5,1.9,"Sikkim","","","",""
"1718","36. Total unmet need7 (%)",18.2,8.2,11.9,21.7,"Sikkim","","","",""
"1719","37. Unmet need for spacing7 (%)",8.4,2.9,4.9,8.9,"Sikkim","","","",""
"1720","38. Health worker ever talked to female non-users about family planning (%)",17.2,20.7,18.9,19.6,"Sikkim","","","",""
"1721","39. Current users ever told about side effects of current method8 (%)",63.2,59.7,60.8,57.9,"Sikkim","Based on 25-49 unweighted cases","","",""
"1722","40. Mothers who had an antenatal check-up in the first trimester (%)",58.5,66.5,63.7,76.2,"Sikkim","","","",""
"1723","41. Mothers who had at least 4 antenatal care visits (%)",51.4,62.3,58.4,74.7,"Sikkim","","","",""
"1724","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.2,91.8,92,97.2,"Sikkim","","","",""
"1725","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",48.4,58.2,54.7,52.8,"Sikkim","","","",""
"1726","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",29.6,32.5,31.5,26.8,"Sikkim","","","",""
"1727","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.1,93.8,94.6,99.1,"Sikkim","","","",""
"1728","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",58.9,75,69.3,74.2,"Sikkim","","","",""
"1729","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",NA,8028,8334,3993,"Sikkim","Based on 25-49 unweighted cases","","",""
"1730","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,0,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"1731","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",56.2,71.7,66.2,NA,"Sikkim","","","",""
"1732","50. Institutional births (%)",92,96.3,94.7,94.7,"Sikkim","","","",""
"1733","51. Institutional births in public facility (%)",66.6,85.6,78.6,82.7,"Sikkim","","","",""
"1734","52. Home births that were conducted by skilled health personnel10 (%)",4,1.9,2.6,2.4,"Sikkim","","","",""
"1735","53. Births attended by skilled health personnel10 (%)",93.5,98.2,96.5,97.1,"Sikkim","","","",""
"1736","54. Births delivered by caesarean section (%)",43.1,26.9,32.8,20.9,"Sikkim","","","",""
"1737","55. Births in a private health facility that were delivered by caesarean section (%)",NA,44,55.4,49.3,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1738","56. Births in a public health facility that were delivered by caesarean section (%)",40.4,25.9,30.4,18.1,"Sikkim","","","",""
"1739","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",NA,83.2,80.6,83,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1740","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,88.7,87.6,94.2,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1741","59. Children age 12-23 months who have received BCG (%)",NA,95.3,96.6,98.9,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1742","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",NA,89.9,89,87.7,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1743","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",NA,88,91.4,93,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1744","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",NA,91.9,90.5,93.3,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1745","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",NA,34.2,29,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1746","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",NA,0,0,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1747","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",NA,86.8,89.1,84.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1748","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",92.6,82.2,85.6,84.3,"Sikkim","Based on 25-49 unweighted cases","","",""
"1749","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",NA,100,100,94.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1750","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",NA,0,0,5.9,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1751","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",9.3,3.3,5.5,1.8,"Sikkim","","","",""
"1752","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,64.2,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1753","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,50,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1754","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,56.6,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1755","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.8,0.7,0.7,0.3,"Sikkim","","","",""
